trial_index,stim_onset,saccade_onset,latency,amplitude
0,0.0,0.029453,0.029453,10.631094477992376
1,0.0,0.029453,0.029453,10.631094477992376
2,0.0,0.029453,0.029453,10.631094477992376
3,0.0,0.029453,0.029453,10.631094477992376
4,44.547,44.653157,0.10615700000000317,4.974793488176168
5,44.547,44.653157,0.10615700000000317,4.974793488176168
6,45.552,45.597435,0.04543499999999767,9.900213583554649
7,45.552,45.597435,0.04543499999999767,9.900213583554649
8,46.552,46.611808,0.05980800000000386,9.951846713047784
9,46.552,46.611808,0.05980800000000386,9.951846713047784
10,47.551,47.56208,0.011079999999999757,9.922684818132641
11,47.551,47.56208,0.011079999999999757,9.922684818132641
12,48.551,48.570834,0.01983399999999591,33.13941761709158
13,48.551,48.570834,0.01983399999999591,33.13941761709158
14,49.552,49.552362,0.000362000000002638,0.5568850868895665
15,49.552,49.552362,0.000362000000002638,0.5568850868895665
16,69.533,69.598441,0.06544099999999275,66.79869972274909
17,69.533,69.598441,0.06544099999999275,66.79869972274909
18,89.53,89.533663,0.0036630000000030805,29.258846542541626
19,89.53,89.533663,0.0036630000000030805,29.258846542541626
20,109.527,109.744755,0.2177549999999968,0.16140604852359158
21,109.527,109.744755,0.2177549999999968,0.16140604852359158
22,129.525,130.052743,0.5277429999999868,5.543803092192218
23,129.525,130.052743,0.5277429999999868,5.543803092192218
24,149.522,149.567011,0.045011000000016566,0.6607185482487986
25,149.522,149.567011,0.045011000000016566,0.6607185482487986
26,169.519,169.629353,0.11035300000000348,0.4567989163734958
27,169.519,169.629353,0.11035300000000348,0.4567989163734958
28,189.516,189.54755,0.03155000000000996,33.96658957637637
29,189.516,189.54755,0.03155000000000996,33.96658957637637
30,209.514,209.625667,0.11166699999998286,0.7836377032787537
31,209.514,209.625667,0.11166699999998286,0.7836377032787537
32,229.511,229.656126,0.14512600000000475,28.79980156181636
33,229.511,229.656126,0.14512600000000475,28.79980156181636
34,249.508,249.731894,0.22389400000000137,0.8652692991202218
35,249.508,249.731894,0.22389400000000137,0.8652692991202218
36,269.505,269.799994,0.29499400000003106,38.89512752877923
37,269.505,269.799994,0.29499400000003106,38.89512752877923
38,289.503,289.728153,0.22515300000003435,39.644774348329946
39,289.503,289.728153,0.22515300000003435,39.644774348329946
40,309.499,309.608364,0.10936399999997093,10.214919921369917
41,309.499,309.608364,0.10936399999997093,10.214919921369917
42,329.497,329.627648,0.13064800000000787,0.954544650605722
43,329.497,329.627648,0.13064800000000787,0.954544650605722
44,349.493,349.619437,0.1264370000000099,9.481955027313724
45,349.493,349.619437,0.1264370000000099,9.481955027313724
46,369.492,369.560676,0.0686759999999822,0.04877140555694494
47,369.492,369.560676,0.0686759999999822,0.04877140555694494
48,389.489,389.918557,0.42955700000004526,0.634662305876125
49,389.489,389.918557,0.42955700000004526,0.634662305876125
50,409.486,409.529653,0.04365300000000616,0.9966809168435
51,409.486,409.529653,0.04365300000000616,0.9966809168435
52,429.483,429.499881,0.016881000000012136,9.727378680816328
53,429.483,429.499881,0.016881000000012136,9.727378680816328
54,449.48,449.527557,0.04755699999998342,9.609549677274165
55,449.48,449.527557,0.04755699999998342,9.609549677274165
56,469.478,469.501081,0.02308099999999058,0.4094135470401536
57,469.478,469.501081,0.02308099999999058,0.4094135470401536
58,489.475,489.546097,0.071096999999952,9.551068683660484
59,489.475,489.546097,0.071096999999952,9.551068683660484
60,509.473,509.597134,0.12413399999996955,37.68354645478581
61,509.473,509.597134,0.12413399999996955,37.68354645478581
62,529.47,529.567004,0.09700399999996989,0.62299075434552
63,529.47,529.567004,0.09700399999996989,0.62299075434552
64,549.467,549.591424,0.12442399999997633,9.538125405445244
65,549.467,549.591424,0.12442399999997633,9.538125405445244
66,569.464,569.471309,0.007308999999963817,38.29182843636485
67,569.464,569.471309,0.007308999999963817,38.29182843636485
68,589.461,589.512437,0.05143699999996443,0.2666666270833304
69,589.461,589.512437,0.05143699999996443,0.2666666270833304
70,609.457,609.557274,0.10027400000001307,33.364824769957956
71,609.457,609.557274,0.10027400000001307,33.364824769957956
72,629.456,629.508119,0.052118999999947846,9.74528696345059
73,629.456,629.508119,0.052118999999947846,9.74528696345059
74,650.452,650.522691,0.07069100000001072,42.16294975117372
75,650.452,650.522691,0.07069100000001072,42.16294975117372
76,651.468,651.54908,0.08108000000004267,10.568275403300198
77,651.468,651.54908,0.08108000000004267,10.568275403300198
78,652.468,652.555962,0.08796200000006138,10.026694370529103
79,652.468,652.555962,0.08796200000006138,10.026694370529103
80,653.468,653.470936,0.002936000000090644,0.4375478043724036
81,653.468,653.470936,0.002936000000090644,0.4375478043724036
82,654.467,654.470346,0.003345999999964988,5.595604078426207
83,654.467,654.470346,0.003345999999964988,5.595604078426207
84,665.255,665.283847,0.02884700000004159,294.7122175954027
85,665.255,665.283847,0.02884700000004159,294.7122175954027
86,666.266,666.273236,0.007236000000034437,33.26367850388769
87,666.266,666.273236,0.007236000000034437,33.26367850388769
88,667.265,667.322603,0.05760299999997187,33.850374444494705
89,667.265,667.322603,0.05760299999997187,33.850374444494705
90,668.265,668.641839,0.37683900000001813,5.0301511905707175
91,668.265,668.641839,0.37683900000001813,5.0301511905707175
92,669.265,669.281459,0.016459000000054402,0.004609772228646435
93,669.265,669.281459,0.016459000000054402,0.004609772228646435
94,670.266,670.350807,0.08480700000006891,34.02368920810911
95,670.266,670.350807,0.08480700000006891,34.02368920810911
96,690.247,690.418754,0.17175400000007812,17.415946973966133
97,690.247,690.418754,0.17175400000007812,17.415946973966133
98,710.245,710.260427,0.015427000000045155,10.262120078229449
99,710.245,710.260427,0.015427000000045155,10.262120078229449
100,730.242,730.284782,0.04278199999998833,0.016475739740600414
101,730.242,730.284782,0.04278199999998833,0.016475739740600414
102,750.238,750.242764,0.004763999999909174,43.80261407724429
103,750.238,750.242764,0.004763999999909174,43.80261407724429
104,770.236,770.260722,0.024721999999997024,0.027475807540452753
105,770.236,770.260722,0.024721999999997024,0.027475807540452753
106,790.233,790.385646,0.15264600000000428,10.204348310891783
107,790.233,790.385646,0.15264600000000428,10.204348310891783
108,810.231,810.323077,0.0920770000000175,10.089666746231016
109,810.231,810.323077,0.0920770000000175,10.089666746231016
110,830.227,830.5144,0.28740000000004784,0.30093059000374156
111,830.227,830.5144,0.28740000000004784,0.30093059000374156
112,850.225,850.442374,0.21737399999994977,42.798282675827075
113,850.225,850.442374,0.21737399999994977,42.798282675827075
114,870.222,870.260411,0.03841099999999642,34.10290299813199
115,870.222,870.260411,0.03841099999999642,34.10290299813199
116,890.22,890.227318,0.007317999999941094,10.225201373567174
117,890.22,890.227318,0.007317999999941094,10.225201373567174
118,910.217,910.217539,0.0005390000000033979,1.2238784335055506
119,910.217,910.217539,0.0005390000000033979,1.2238784335055506
120,930.214,930.484018,0.27001799999993636,3.6202533692792525
121,930.214,930.484018,0.27001799999993636,3.6202533692792525
122,950.212,950.242075,0.030075000000010732,37.25620610649989
123,950.212,950.242075,0.030075000000010732,37.25620610649989
